States,States Code,Year,GDP,Unemployment,Population,Poverty
Alabama,AL,2010,199455,10.4,"4,717",17.2
Alaska,AK,2010,53652,8.2,695,12.5
Arizona,AZ,2010,282252.5,10.3,"6,426",18.8
Arkansas,AR,2010,113000.9,7.9,"2,879",15.3
California,CA,2010,2153852.8,12.5,"37,240",16.3
Colorado,CO,2010,279385.6,9.2,"4,995",12.3
Connecticut,CT,2010,266773.4,9.6,"3,541",8.6
Delaware,DE,2010,68291.9,8.7,890,12.2
District of Columbia,DC,2010,120393.2,10.0,604,19.5
Florida,FL,2010,851956.4,10.8,"18,760",16.0
Georgia,GA,2010,471588.2,10.7,"9,650",18.8
Hawaii,HI,2010,76130.2,6.8,"1,311",12.4
Idaho,ID,2010,62626.4,8.8,"1,543",13.8
Illinois,IL,2010,755391.4,10.5,"12,780",14.1
Indiana,IN,2010,320731.8,10.1,"6,390",16.3
Iowa,IA,2010,161593.1,6.1,"2,977",10.3
Kansas,KS,2010,143870.1,7.0,"2,766",14.5
Kentucky,KY,2010,186720.6,10.3,"4,270",17.7
Louisiana,LA,2010,253466.9,7.5,"4,418",21.5
Maine,ME,2010,59958.5,8.4,"1,298",12.6
Maryland,MD,2010,352622.9,7.8,"5,786",10.9
Massachusetts,MA,2010,462330.8,8.1,"6,532",10.9
Michigan,MI,2010,441271.5,12.2,"9,751",15.7
Minnesota,MN,2010,308091.9,7.4,"5,217",10.8
Mississippi,MS,2010,106711.8,10.1,"2,920",22.5
Missouri,MO,2010,295986.4,9.5,"5,929",15.0
Montana,MT,2010,42469.8,7.2,979,14.5
Nebraska,NE,2010,103940.8,4.7,"1,804",10.2
Nevada,NV,2010,142614.2,13.8,"2,696",16.6
New Hampshire,NH,2010,72950.4,6.1,"1,294",6.5
New Jersey,NJ,2010,554764.4,9.7,"8,733",11.1
New Mexico,NM,2010,90721,7.8,"2,033",18.3
New York,NY,2010,1431624,8.7,"19,120",16.0
North Carolina,NC,2010,482030.4,10.7,"9,359",17.4
North Dakota,ND,2010,38697.4,3.7,653,12.6
Ohio,OH,2010,563816.3,10.3,"11,340",15.4
Oklahoma,OK,2010,158086.4,6.5,"3,697",16.3
Oregon,OR,2010,180738.2,10.7,"3,752",14.3
Pennsylvania,PA,2010,666805.8,8.2,"12,530",12.2
Rhode Island,RI,2010,56050.6,11.6,"1,042",14.0
South Carolina,SC,2010,188777.2,11.3,"4,563",16.9
South Dakota,SD,2010,44810.7,4.9,799,13.6
Tennessee,TN,2010,292687,9.8,"6,315",16.7
Texas,TX,2010,1323059.1,8.2,"25,200",18.4
Utah,UT,2010,133739.1,7.9,"2,768",10.0
Vermont,VT,2010,30890.6,6.3,624,10.8
Virginia,VA,2010,475699.3,7.3,"7,837",10.7
Washington,WA,2010,403471.3,9.1,"6,713",11.6
West Virginia,WV,2010,71823.8,8.7,"1,816",16.8
Wisconsin,WI,2010,287652.9,8.5,"5,626",10.1
Wyoming,WY,2010,39135.8,6.9,550,9.6
Alabama,AL,2011,201372.8,9.6,"4,765",15.4
Alaska,AK,2011,54045.5,7.8,712,11.7
Arizona,AZ,2011,290411.3,9.4,"6,547",17.2
Arkansas,AR,2011,115241.8,7.9,"2,909",18.7
California,CA,2011,2192887.2,11.9,"37,590",16.9
Colorado,CO,2011,283963.8,8.7,"5,016",13.2
Connecticut,CT,2011,261555.8,9.0,"3,514",10.1
Delaware,DE,2011,71103.5,7.6,902,13.7
District of Columbia,DC,2011,122636.4,10.2,619,19.9
Florida,FL,2011,849395.3,10.0,"18,990",14.9
Georgia,GA,2011,481215.4,10.1,"9,681",18.4
Hawaii,HI,2011,77174.2,6.8,"1,337",12.1
Idaho,ID,2011,62704,8.2,"1,574",15.7
Illinois,IL,2011,772225.6,9.8,"12,700",14.2
Indiana,IN,2011,321532.8,8.9,"6,344",15.6
Iowa,IA,2011,164559.3,5.6,"3,027",10.4
Kansas,KS,2011,147836.8,6.4,"2,807",14.3
Kentucky,KY,2011,188389.8,9.4,"4,302",16.0
Louisiana,LA,2011,241235.9,7.4,"4,494",21.1
Maine,ME,2011,59429.7,7.7,"1,328",13.4
Maryland,MD,2011,360155.9,7.3,"5,806",9.3
Massachusetts,MA,2011,472664.3,7.2,"6,514",10.6
Michigan,MI,2011,453989.1,10.0,"9,689",15.0
Minnesota,MN,2011,315213.3,6.5,"5,276",10.0
Mississippi,MS,2011,106491.1,9.8,"2,932",17.4
Missouri,MO,2011,292984.2,8.6,"5,892",15.4
Montana,MT,2011,43532.2,6.6,986,16.5
Nebraska,NE,2011,109734.2,4.4,"1,823",10.2
Nevada,NV,2011,144341.2,13.3,"2,682",15.5
New Hampshire,NH,2011,73465,5.5,"1,300",7.6
New Jersey,NJ,2011,548479.3,9.4,"8,642",11.4
New Mexico,NM,2011,90552.3,7.2,"2,037",22.2
New York,NY,2011,1440346.8,8.3,"19,330",16.0
North Carolina,NC,2011,484200.3,10.3,"9,504",15.4
North Dakota,ND,2011,43300.4,3.3,675,9.9
Ohio,OH,2011,580251.4,8.8,"11,310",15.1
Oklahoma,OK,2011,163859.3,5.6,"3,763",13.9
Oregon,OR,2011,185959.4,9.6,"3,850",14.4
Pennsylvania,PA,2011,676468.3,7.8,"12,700",12.6
Rhode Island,RI,2011,56026.6,11.0,"1,038",13.4
South Carolina,SC,2011,193221,10.4,"4,605",19.0
South Dakota,SD,2011,47630.3,4.6,808,14.5
Tennessee,TN,2011,301508.9,9.1,"6,324",16.3
Texas,TX,2011,1370174.9,8.0,"25,550",17.4
Utah,UT,2011,138301.1,7.1,"2,812",11.0
Vermont,VT,2011,31663.6,5.6,615,11.6
Virginia,VA,2011,479571.4,6.6,"7,971",11.4
Washington,WA,2011,411575.7,8.5,"6,812",12.5
